# Written by tools/mid_to_song.py. One strike per line: tick volume midi.
# Source: currentbest.mid
# 2590 strikes over 4047 ticks, at most 6 a tick.
length 4047
43 0.89 74
45 0.67 69
47 0.67 65
48 0.74 62
50 0.79 38
50 0.82 50
50 0.84 62
52 0.74 69
56 0.74 62
56 0.67 74
58 0.84 65
60 0.78 69
62 0.77 77
64 0.79 81
66 0.84 74
68 0.69 70
69 0.74 69
71 0.64 62
71 0.66 74
73 0.79 38
73 0.81 50
73 0.83 62
73 0.89 70
73 0.76 74
77 0.68 69
79 0.73 62
81 0.89 67
83 0.82 70
85 0.77 76
87 0.76 79
89 0.80 74
91 0.74 69
93 0.69 65
94 0.75 62
94 0.69 74
97 0.80 38
97 0.83 62
99 0.73 69
102 0.71 62
102 0.67 74
105 0.82 65
107 0.80 69
109 0.75 77
111 0.74 81
113 0.82 74
114 0.75 70
116 0.71 67
118 0.74 62
120 0.74 38
120 0.82 50
120 0.80 62
120 0.89 70
120 0.84 82
122 0.71 69
122 0.67 74
124 0.74 73
126 0.78 70
128 0.89 67
130 0.82 73
132 0.75 79
134 0.80 85
136 0.91 62
140 0.74 76
142 0.74 77
144 0.89 70
146 0.77 77
148 0.76 86
150 0.75 77
152 0.91 68
154 0.75 77
156 0.80 86
158 0.74 77
159 0.80 45
159 0.88 57
161 0.74 77
163 0.76 86
165 0.76 76
167 0.89 69
169 0.74 76
171 0.80 86
173 0.74 76
175 0.88 67
177 0.72 76
179 0.74 84
181 0.72 76
182 0.74 43
182 0.89 55
184 0.71 76
186 0.75 84
188 0.74 74
190 0.82 67
190 0.80 79
192 0.75 74
195 0.74 82
196 0.71 74
198 0.80 64
198 0.72 76
200 0.72 74
202 0.76 82
204 0.68 74
206 0.80 41
206 0.86 53
208 0.76 73
210 0.76 82
212 0.72 73
214 0.80 65
214 0.74 77
216 0.72 73
218 0.76 82
220 0.75 73
222 0.84 65
222 0.75 77
224 0.72 73
226 0.72 81
227 0.71 73
229 0.84 45
229 0.84 57
231 0.74 72
233 0.75 81
235 0.74 72
237 0.89 64
237 0.78 76
239 0.75 72
241 0.74 79
243 0.77 72
245 0.89 62
247 0.76 70
249 0.75 77
251 0.74 70
253 0.74 43
253 0.89 55
255 0.75 70
257 0.75 76
259 0.77 70
261 0.86 65
261 0.78 77
262 0.75 74
264 0.76 81
266 0.75 74
268 0.88 67
268 0.78 79
270 0.75 74
272 0.75 79
274 0.75 74
276 0.82 45
276 0.91 57
278 0.80 70
280 0.76 77
282 0.80 70
284 0.86 69
286 0.80 72
288 0.77 77
290 0.80 72
290 0.74 77
292 0.89 70
294 0.80 74
296 0.74 77
297 0.82 74
300 0.80 45
300 0.89 57
302 0.80 76
304 0.80 82
305 0.80 76
307 0.84 45
307 0.89 57
309 0.80 76
311 0.80 82
313 0.80 76
315 0.87 45
317 0.82 76
319 0.75 81
321 0.74 76
323 0.74 57
323 0.89 62
323 0.90 74
323 0.80 81
323 0.91 86
329 0.74 50
331 0.89 62
333 0.74 57
335 0.80 53
337 0.74 50
338 0.86 50
339 0.84 62
340 0.86 53
342 0.78 57
344 0.79 62
346 0.89 62
348 0.80 58
350 0.76 55
352 0.80 50
352 0.75 69
354 0.84 38
354 0.91 46
354 0.84 50
354 0.84 57
355 0.72 45
362 0.89 55
362 0.82 67
364 0.82 58
366 0.82 64
366 0.80 76
368 0.86 67
368 0.78 79
370 0.89 62
372 0.77 57
374 0.80 53
376 0.79 50
378 0.89 62
