# Written by tools/moonlight_song.py. One strike per line: tick volume midi.
# Beethoven, Piano Sonata No. 14 in C# minor, Op. 27 No. 2, first movement, opening.
# 180 strikes over 1107 ticks at 54 bpm.
length 1107
0 0.34 56
0 0.52 37
0 0.52 49
7 0.34 61
15 0.34 64
22 0.34 56
30 0.34 61
37 0.34 64
44 0.34 56
52 0.34 61
59 0.34 64
67 0.34 56
74 0.34 61
81 0.34 64
89 0.34 56
89 0.52 37
89 0.52 49
96 0.34 61
104 0.34 64
111 0.34 56
119 0.34 61
126 0.34 64
133 0.34 56
141 0.34 61
148 0.34 64
156 0.34 56
163 0.34 61
170 0.34 64
178 0.34 57
178 0.52 35
178 0.52 47
185 0.34 61
193 0.34 64
200 0.34 57
207 0.34 61
215 0.34 64
222 0.34 57
230 0.34 62
237 0.34 66
244 0.34 57
252 0.34 62
259 0.34 66
267 0.34 56
267 0.52 32
267 0.52 44
274 0.34 60
281 0.34 66
289 0.34 56
296 0.34 60
304 0.34 66
311 0.34 56
319 0.34 61
326 0.34 64
333 0.34 56
341 0.34 60
348 0.34 63
356 0.34 56
356 0.52 37
356 0.52 49
356 0.78 68
363 0.34 61
370 0.34 64
378 0.34 56
385 0.34 61
393 0.34 64
400 0.34 56
407 0.34 61
415 0.34 64
422 0.34 56
430 0.34 61
437 0.34 64
444 0.34 56
444 0.52 37
444 0.52 49
444 0.78 68
452 0.34 61
459 0.34 64
461 0.78 68
467 0.34 56
467 0.78 68
474 0.34 61
481 0.34 64
489 0.34 56
496 0.34 61
504 0.34 64
511 0.34 56
519 0.34 61
526 0.34 64
533 0.34 57
533 0.52 35
533 0.52 47
533 0.78 69
541 0.34 61
548 0.34 64
550 0.78 69
556 0.34 57
556 0.78 69
563 0.34 61
570 0.34 64
578 0.34 57
585 0.34 62
593 0.34 66
600 0.34 57
607 0.34 62
615 0.34 66
622 0.34 56
622 0.52 32
622 0.52 44
622 0.78 68
630 0.34 60
637 0.34 66
639 0.78 68
644 0.34 56
644 0.78 68
652 0.34 60
659 0.34 66
667 0.34 56
674 0.34 61
681 0.34 64
689 0.34 56
696 0.34 60
704 0.34 63
711 0.34 56
711 0.52 37
711 0.52 49
711 0.78 68
719 0.34 61
726 0.34 64
733 0.34 56
741 0.34 61
748 0.34 64
756 0.34 56
763 0.34 61
770 0.34 64
778 0.34 56
785 0.34 61
793 0.34 64
800 0.34 56
800 0.52 37
800 0.52 49
807 0.34 61
815 0.34 64
822 0.34 56
830 0.34 61
837 0.34 64
844 0.34 56
852 0.34 61
859 0.34 64
867 0.34 56
874 0.34 61
881 0.34 64
889 0.34 57
889 0.52 35
889 0.52 47
896 0.34 61
904 0.34 64
911 0.34 57
919 0.34 61
926 0.34 64
933 0.34 57
941 0.34 62
948 0.34 66
956 0.34 57
963 0.34 62
970 0.34 66
978 0.34 56
978 0.52 37
978 0.52 49
978 0.78 68
985 0.34 61
993 0.34 64
1000 0.34 56
1007 0.34 61
1015 0.34 64
1022 0.34 56
1030 0.34 61
1037 0.34 64
1044 0.34 56
1052 0.34 61
1059 0.34 64
