# Written by tools/mid_to_song.py. One strike per line: tick volume midi.
# Source: only my railgun (Full ver.).mid
# 4445 strikes over 4903 ticks, at most 6 a tick.
length 4903
0 0.64 32
0 0.64 44
0 0.64 68
4 0.64 68
8 0.64 32
8 0.64 44
8 0.64 68
13 0.63 66
15 0.64 68
17 0.64 32
17 0.64 44
21 0.64 68
25 0.64 32
25 0.64 44
25 0.63 66
29 0.79 47
29 0.79 51
29 0.63 66
31 0.65 68
34 0.63 32
34 0.63 44
38 0.64 68
42 0.63 32
42 0.63 44
42 0.64 68
46 0.63 66
48 0.64 68
50 0.63 32
50 0.63 44
55 0.64 68
59 0.63 32
59 0.63 44
59 0.63 66
63 0.63 66
65 0.65 68
67 0.73 32
67 0.73 44
71 0.64 68
76 0.64 32
76 0.64 44
76 0.64 68
80 0.63 66
82 0.64 68
84 0.64 32
84 0.64 44
88 0.64 68
92 0.64 32
92 0.64 44
92 0.63 66
97 0.81 47
97 0.81 51
97 0.81 56
97 0.63 66
99 0.65 68
101 0.62 32
101 0.62 44
105 0.65 68
109 0.64 32
109 0.64 44
109 0.66 68
113 0.65 66
115 0.68 68
117 0.66 32
117 0.66 44
122 0.70 68
126 0.77 56
126 0.68 66
127 0.75 51
128 0.72 47
129 0.70 44
130 0.69 39
130 0.70 66
132 0.68 35
132 0.74 68
134 0.67 32
138 0.76 44
138 0.73 63
138 0.73 68
143 0.67 32
143 0.73 63
143 0.73 68
147 0.78 44
147 0.70 66
149 0.73 63
149 0.73 68
151 0.66 32
155 0.78 44
155 0.73 63
155 0.73 68
159 0.66 32
159 0.71 61
159 0.71 66
164 0.79 44
164 0.71 66
166 0.74 63
166 0.74 68
168 0.66 32
172 0.67 32
172 0.74 63
172 0.74 68
174 0.79 44
176 0.66 32
176 0.73 63
176 0.73 68
178 0.79 44
180 0.66 32
180 0.71 66
183 0.79 44
183 0.74 63
183 0.74 68
185 0.66 32
187 0.79 44
189 0.66 32
189 0.73 63
189 0.73 68
191 0.79 44
193 0.66 32
193 0.71 61
193 0.71 66
195 0.79 44
197 0.66 32
197 0.72 66
199 0.79 44
199 0.74 63
199 0.74 68
201 0.66 32
203 0.79 44
206 0.66 32
206 0.74 63
206 0.74 68
208 0.80 44
210 0.66 32
210 0.74 63
210 0.74 68
212 0.81 44
214 0.67 32
214 0.72 66
216 0.81 44
216 0.75 63
216 0.75 68
218 0.67 32
220 0.81 44
222 0.68 32
222 0.75 63
222 0.75 68
224 0.82 44
227 0.83 51
227 0.74 61
227 0.74 66
228 0.84 47
229 0.82 44
231 0.76 39
231 0.75 66
233 0.72 35
233 0.77 63
233 0.77 68
235 0.83 32
235 0.83 44
237 0.77 68
239 0.81 71
241 0.85 75
243 0.71 32
243 0.86 80
245 0.71 44
245 0.86 83
248 0.71 32
248 0.86 87
250 0.78 44
250 0.87 83
252 0.78 32
252 0.84 80
254 0.79 44
254 0.74 75
256 0.79 32
256 0.87 71
256 0.87 83
258 0.79 44
260 0.79 32
260 0.86 70
260 0.86 82
262 0.79 44
264 0.80 32
264 0.76 66
264 0.76 78
266 0.80 44
269 0.82 32
269 0.82 44
269 0.77 66
269 0.77 73
269 0.77 78
273 0.82 44
273 0.88 68
273 0.88 80
275 0.84 47
275 0.86 68
275 0.86 71
275 0.86 80
277 0.87 51
279 0.82 47
281 0.90 51
281 0.90 56
281 0.77 66
281 0.77 78
285 0.77 44
285 0.78 66
285 0.78 73
285 0.78 78
287 0.79 47
290 0.86 51
290 0.88 68
290 0.88 80
292 0.79 47
292 0.86 68
292 0.86 71
292 0.86 80
294 0.90 51
294 0.90 56
298 0.74 32
298 0.74 44
298 0.79 66
298 0.79 78
302 0.74 28
302 0.74 40
302 0.79 66
302 0.79 71
302 0.79 78
306 0.74 40
306 0.89 68
306 0.89 80
308 0.78 44
308 0.87 68
308 0.87 71
308 0.87 80
310 0.90 47
310 0.90 52
315 0.90 52
315 0.90 56
315 0.83 68
315 0.83 80
319 0.74 40
319 0.83 68
319 0.83 71
319 0.83 80
321 0.76 44
323 0.81 47
323 0.86 70
323 0.86 82
327 0.90 52
327 0.90 56
327 0.88 71
327 0.88 83
331 0.74 28
331 0.74 40
331 0.89 73
331 0.89 85
336 0.75 30
336 0.75 42
336 0.82 70
336 0.82 73
336 0.82 78
336 0.82 82
338 0.73 37
340 0.77 42
342 0.83 46
344 0.90 49
344 0.90 54
344 0.74 66
344 0.74 70
344 0.74 73
344 0.74 78
348 0.90 54
348 0.90 58
352 0.74 30
352 0.74 42
352 0.90 78
352 0.90 82
352 0.90 85
352 0.90 88
355 0.73 37
357 0.75 42
359 0.81 46
361 0.90 49
361 0.90 54
361 0.83 73
361 0.83 78
361 0.83 82
361 0.83 85
365 0.84 46
365 0.84 49
369 0.79 35
369 0.79 47
369 0.82 75
369 0.82 78
369 0.82 82
369 0.82 85
371 0.74 42
373 0.81 47
376 0.88 51
376 0.82 75
376 0.82 78
376 0.82 82
376 0.82 85
378 0.90 54
378 0.90 59
382 0.89 51
382 0.89 54
382 0.84 75
382 0.84 78
382 0.84 83
382 0.84 87
386 0.79 34
386 0.79 46
388 0.74 42
390 0.78 71
390 0.78 83
392 0.83 46
394 0.90 49
394 0.90 54
394 0.77 70
394 0.77 82
399 0.74 30
399 0.74 42
399 0.73 66
399 0.73 78
403 0.76 32
403 0.76 44
403 0.74 66
403 0.74 73
403 0.74 78
407 0.77 44
407 0.85 68
407 0.85 80
409 0.81 47
409 0.82 68
409 0.82 71
409 0.82 80
411 0.89 51
413 0.81 47
415 0.90 51
415 0.90 56
415 0.76 66
415 0.76 78
420 0.75 44
420 0.77 66
420 0.77 73
420 0.77 78
422 0.79 47
424 0.88 51
424 0.88 68
424 0.88 80
426 0.79 47
426 0.86 68
426 0.86 71
426 0.86 80
428 0.90 51
428 0.90 56
432 0.74 32
432 0.74 44
432 0.79 66
432 0.79 78
436 0.73 28
436 0.73 40
436 0.79 66
436 0.79 71
436 0.79 78
441 0.74 40
441 0.89 68
441 0.89 80
443 0.78 44
443 0.87 68
443 0.87 71
443 0.87 80
445 0.90 47
445 0.90 52
449 0.74 40
449 0.83 68
449 0.83 80
453 0.74 39
453 0.83 68
453 0.83 75
453 0.83 80
455 0.78 42
457 0.84 46
457 0.86 70
457 0.86 82
459 0.78 42
462 0.90 46
462 0.90 51
462 0.88 71
462 0.88 83
466 0.74 27
466 0.74 39
466 0.89 73
466 0.89 85
470 0.74 25
470 0.74 37
470 0.77 68
470 0.77 73
470 0.77 76
470 0.77 80
474 0.75 37
476 0.79 40
478 0.85 44
478 0.78 80
480 0.79 40
480 0.73 76
483 0.90 44
483 0.90 49
483 0.72 73
485 0.72 68
487 0.74 37
487 0.86 68
487 0.86 73
487 0.86 80
489 0.78 40
491 0.84 44
491 0.88 70
491 0.88 82
493 0.79 40
495 0.90 44
495 0.90 49
495 0.89 71
495 0.89 83
499 0.90 49
499 0.90 73
499 0.90 85
501 0.74 37
503 0.75 27
503 0.75 39
503 0.84 70
503 0.84 75
503 0.84 78
503 0.84 82
506 0.73 34
508 0.77 39
510 0.82 42
512 0.90 46
512 0.90 51
512 0.75 66
512 0.75 70
512 0.75 75
512 0.75 78
516 0.90 51
516 0.90 54
520 0.74 27
520 0.74 39
520 0.74 63
520 0.74 66
520 0.74 70
520 0.74 75
524 0.75 39
527 0.79 42
529 0.90 46
529 0.90 51
529 0.80 66
529 0.80 70
529 0.80 75
529 0.80 78
533 0.74 27
533 0.74 39
537 0.76 28
537 0.76 40
537 0.81 66
537 0.81 71
537 0.81 78
539 0.74 35
541 0.78 40
541 0.89 68
541 0.89 80
543 0.84 44
543 0.87 68
543 0.87 76
543 0.87 80
545 0.90 47
545 0.90 52
550 0.81 44
550 0.88 71
550 0.88 83
552 0.76 40
554 0.79 30
554 0.79 42
554 0.85 70
554 0.85 78
554 0.85 82
556 0.74 37
558 0.80 42
558 0.82 66
558 0.82 78
560 0.87 46
560 0.74 63
560 0.74 66
560 0.74 75
562 0.90 49
562 0.90 54
566 0.83 46
566 0.79 66
566 0.79 78
569 0.77 42
571 0.80 32
571 0.80 44
571 0.81 66
571 0.81 73
571 0.81 78
575 0.80 44
575 0.88 68
575 0.88 80
577 0.88 49
577 0.85 68
577 0.85 73
577 0.85 75
577 0.85 80
579 0.90 51
579 0.72 63
579 0.72 68
581 0.88 49
583 0.90 51
583 0.90 56
583 0.73 66
585 0.75 63
585 0.75 68
587 0.75 44
590 0.83 49
592 0.88 51
592 0.77 63
592 0.77 68
594 0.83 49
596 0.90 51
596 0.90 56
596 0.76 61
596 0.76 66
600 0.74 44
600 0.78 66
602 0.81 63
602 0.81 68
604 0.74 32
604 0.74 44
606 0.72 39
608 0.76 44
608 0.82 63
608 0.82 68
610 0.85 49
613 0.88 51
613 0.82 63
613 0.82 68
615 0.90 56
617 0.90 56
617 0.79 66
619 0.90 61
619 0.83 63
619 0.83 68
621 0.90 63
623 0.90 61
625 0.88 56
625 0.82 63
625 0.82 68
627 0.88 56
629 0.75 51
629 0.80 61
629 0.80 66
631 0.74 49
632 0.72 44
634 0.72 39
634 0.80 66
636 0.72 37
636 0.83 63
636 0.83 68
638 0.75 32
638 0.75 44
638 0.77 63
642 0.86 68
646 0.93 72
650 0.97 75
655 0.99 80
659 1.00 92
661 1.00 87
663 0.96 84
665 0.85 80
667 0.68 75
669 0.61 72
671 0.65 53
671 0.68 72
671 0.68 77
671 0.68 80
676 0.68 60
680 0.70 65
684 0.70 67
688 0.64 80
692 0.63 79
697 0.64 80
701 0.67 82
705 0.60 51
705 0.64 70
705 0.64 75
705 0.64 80
709 0.64 58
713 0.69 63
717 0.70 67
722 0.64 80
726 0.63 79
730 0.64 80
734 0.66 82
738 0.60 49
738 0.68 73
738 0.68 80
738 0.68 84
743 0.68 61
747 0.69 65
751 0.70 67
755 0.70 68
755 0.66 84
759 0.66 85
764 0.64 84
768 0.62 82
772 0.60 27
772 0.60 39
772 0.64 75
772 0.64 79
772 0.64 84
774 0.59 34
776 0.62 39
776 0.63 82
778 0.64 43
780 0.63 39
780 0.61 80
783 0.66 43
785 0.69 46
785 0.74 87
787 0.74 51
789 0.81 44
789 0.81 56
789 0.79 75
789 0.79 80
789 0.79 84
797 0.84 43
797 0.84 55
797 0.72 63
797 0.72 67
797 0.72 70
806 0.68 29
806 0.68 41
806 0.72 72
806 0.72 77
806 0.72 80
810 0.68 41
812 0.74 48
814 0.80 53
814 0.77 84
816 0.72 80
818 0.72 48
818 0.70 79
820 0.68 77
822 0.65 25
822 0.65 37
822 0.73 77
822 0.73 80
827 0.66 37
827 0.71 79
829 0.72 44
831 0.78 49
831 0.74 80
835 0.71 44
835 0.77 82
839 0.66 27
839 0.66 39
839 0.72 70
839 0.72 75
839 0.72 80
843 0.68 39
845 0.76 46
848 0.80 51
848 0.75 82
850 0.70 79
852 0.74 46
852 0.64 75
854 0.64 70
856 0.77 36
856 0.77 48
856 0.75 75
856 0.75 80
860 0.76 48
860 0.73 79
862 0.80 55
864 0.80 60
864 0.75 80
869 0.80 55
869 0.78 82
873 0.66 34
873 0.66 46
873 0.79 73
873 0.79 77
873 0.79 84
877 0.66 46
879 0.78 53
881 0.80 58
881 0.66 70
881 0.66 73
881 0.66 77
885 0.74 53
890 0.66 36
890 0.66 48
890 0.75 75
890 0.75 79
890 0.75 82
894 0.66 48
894 0.72 80
896 0.79 55
898 0.80 60
898 0.70 79
902 0.75 55
902 0.72 80
906 0.64 29
906 0.64 41
906 0.70 72
906 0.70 77
906 0.70 79
910 0.65 41
913 0.69 48
915 0.78 53
919 0.68 48
919 0.69 77
923 0.65 41
923 0.70 69
923 0.70 72
923 0.70 77
925 0.80 60
927 0.80 57
927 0.64 65
929 0.79 55
929 0.64 69
931 0.76 53
931 0.68 72
934 0.67 48
934 0.77 77
936 0.66 45
936 0.80 81
938 0.64 41
938 0.80 84
940 0.64 25
940 0.64 37
940 0.80 73
940 0.80 80
940 0.80 84
944 0.65 37
944 0.80 73
944 0.80 80
944 0.80 84
946 0.68 41
946 0.80 73
946 0.80 80
946 0.80 84
948 0.78 44
948 0.78 49
950 0.80 73
950 0.80 80
950 0.80 84
952 0.80 49
952 0.80 53
952 0.80 73
952 0.80 80
952 0.80 84
957 0.80 56
959 0.79 53
961 0.73 49
961 0.76 75
961 0.76 84
963 0.66 44
965 0.64 37
965 0.72 73
965 0.72 82
969 0.65 25
969 0.65 37
969 0.68 72
969 0.68 80
973 0.67 27
973 0.67 39
973 0.66 70
973 0.66 75
973 0.66 79
978 0.68 39
980 0.73 43
982 0.80 46
982 0.80 51
982 0.68 70
982 0.68 75
982 0.68 79
986 0.80 51
986 0.80 55
986 0.80 79
986 0.80 82
986 0.80 87
988 0.80 79
988 0.80 82
988 0.80 87
990 0.80 58
992 0.80 55
994 0.77 51
994 0.64 75
997 0.68 46
997 0.68 79
999 0.65 39
999 0.74 82
1001 0.78 85
1003 0.66 27
1003 0.66 39
1003 0.80 79
1003 0.80 82
1003 0.80 87
1005 0.79 79
1005 0.79 82
1005 0.79 87
1007 0.65 24
1007 0.65 36
1007 0.79 79
1007 0.79 84
1007 0.79 87
1011 0.66 36
1011 0.74 85
1013 0.69 39
1015 0.79 43
1015 0.79 48
1015 0.72 75
1015 0.72 79
1015 0.72 84
1020 0.80 48
1020 0.80 51
1020 0.67 82
1024 0.80 55
1024 0.79 75
1024 0.79 79
1024 0.79 85
1026 0.79 51
1026 0.75 75
1026 0.75 79
1026 0.75 84
1028 0.75 48
1030 0.68 43
1030 0.68 75
1030 0.68 79
1030 0.68 82
1032 0.64 36
1036 0.66 24
1036 0.66 36
1036 0.68 80
1041 0.70 29
1041 0.70 41
1041 0.66 68
1041 0.66 72
1041 0.66 79
1045 0.71 41
1047 0.74 44
1047 0.67 68
1047 0.67 72
1047 0.67 79
1049 0.80 48
1049 0.80 53
1053 0.80 53
1053 0.80 56
1053 0.66 77
1057 0.80 60
1057 0.72 72
1057 0.72 77
1057 0.72 80
1059 0.79 53
1062 0.80 58
1062 0.79 84
1064 0.77 53
1064 0.72 80
1066 0.80 56
1066 0.66 77
1068 0.67 48
1068 0.64 72
1070 0.79 55
1070 0.64 68
1072 0.66 48
1072 0.64 65
1074 0.64 28
1074 0.64 40
1074 0.79 71
1074 0.79 76
1074 0.79 80
1078 0.65 40
1078 0.80 71
1078 0.80 76
1078 0.80 80
1080 0.67 44
1080 0.79 71
1080 0.79 76
1080 0.79 80
1083 0.79 47
1083 0.79 52
1085 0.80 71
1085 0.80 76
1085 0.80 80
1087 0.80 52
1087 0.80 56
1087 0.79 71
1087 0.79 76
1087 0.79 80
1091 0.80 59
1093 0.79 56
1095 0.73 52
1095 0.75 71
1095 0.75 80
1097 0.66 47
1099 0.64 40
1099 0.77 73
1099 0.77 82
1103 0.65 28
1103 0.65 40
1103 0.78 75
1103 0.78 83
1108 0.67 30
1108 0.67 42
1108 0.75 73
1108 0.75 78
1108 0.75 82
1112 0.68 42
1114 0.73 46
1116 0.80 49
1116 0.80 54
1116 0.74 73
1116 0.74 78
1116 0.74 82
1120 0.80 54
1120 0.80 58
1120 0.72 70
1120 0.72 73
1120 0.72 78
1122 0.70 70
1122 0.70 73
1122 0.70 78
1124 0.80 61
1127 0.78 54
1129 0.80 59
1129 0.75 82
1131 0.76 54
1131 0.68 78
1133 0.80 58
1133 0.64 73
1135 0.64 70
1137 0.73 42
1137 0.73 54
1137 0.72 70
1137 0.72 73
1137 0.72 78
1141 0.64 37
1141 0.70 68
1141 0.70 73
1141 0.70 77
1143 0.64 41
1145 0.66 44
1148 0.65 41
1150 0.79 49
1150 0.79 53
1150 0.72 68
1150 0.72 73
1150 0.72 77
1154 0.66 44
1154 0.68 75
1158 0.80 56
1158 0.73 68
1158 0.73 73
1158 0.73 77
1160 0.72 49
1162 0.79 53
1162 0.80 79
1164 0.71 49
1164 0.79 73
1164 0.79 77
1164 0.79 80
1166 0.66 44
1171 0.74 37
1171 0.74 49
1171 0.77 73
1171 0.77 77
1171 0.77 80
1175 0.64 39
1175 0.72 70
1175 0.72 75
1175 0.72 80
1177 0.68 43
1179 0.71 46
1181 0.79 51
1183 0.68 43
1185 0.72 46
1187 0.79 51
1187 0.72 79
1190 0.80 55
1190 0.71 77
1192 0.80 58
1192 0.72 70
1192 0.72 75
1192 0.72 79
1193 0.66 67
1194 0.80 55
1194 0.68 70
1196 0.75 51
1196 0.67 67
1197 0.68 70
1198 0.66 46
1199 0.71 75
1200 0.75 51
1200 0.70 70
1201 0.72 75
1202 0.66 46
1203 0.74 79
1204 0.66 43
1204 0.72 75
1206 0.64 39
1206 0.74 82
1207 0.75 87
1208 0.90 39
1208 0.90 51
1208 0.86 75
1208 0.86 79
1208 0.86 82
1208 0.86 87
1215 0.81 34
1215 0.81 46
1215 0.88 76
1215 0.88 80
1215 0.88 83
1215 0.88 88
1219 0.81 39
1221 0.97 39
1221 0.97 51
1221 0.88 75
1221 0.88 79
1221 0.88 82
1221 0.88 87
1225 0.85 58
1227 0.85 55
1229 0.80 51
1229 0.74 71
1229 0.74 83
1231 0.72 46
1234 0.82 51
1234 0.75 70
1234 0.75 82
1236 0.74 46
1238 0.73 43
1238 0.72 66
1238 0.72 78
1240 0.72 39
1242 0.76 32
1242 0.76 44
1242 0.74 66
1242 0.74 73
1242 0.74 78
1246 0.77 44
1246 0.85 68
1246 0.85 80
1248 0.83 47
1248 0.83 68
1248 0.83 71
1248 0.83 80
1250 0.90 51
1252 0.81 47
1255 0.90 51
1255 0.90 56
1255 0.76 66
1255 0.76 78
1259 0.75 44
1259 0.77 66
1259 0.77 73
1259 0.77 78
1261 0.79 47
1263 0.88 51
1263 0.88 68
1263 0.88 80
1265 0.79 47
1265 0.86 68
1265 0.86 71
1265 0.86 80
1267 0.90 51
1267 0.90 56
1271 0.74 32
1271 0.74 44
1271 0.79 66
1271 0.79 78
1276 0.73 28
1276 0.73 40
1276 0.79 66
1276 0.79 71
1276 0.79 78
1280 0.74 40
1280 0.89 68
1280 0.89 80
1282 0.78 44
1282 0.87 68
1282 0.87 71
1282 0.87 80
1284 0.90 47
1284 0.90 52
1288 0.90 52
1288 0.90 56
1288 0.83 68
1288 0.83 80
1292 0.74 40
1292 0.83 68
1292 0.83 71
1292 0.83 80
1294 0.76 44
1297 0.81 47
1297 0.86 70
